OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ECHO 1 DEB [METAL OBJ],1960-009C,2026-09-18T22:49:15.302784,12.18385349,0.01088143,47.2106,119.2148,114.9164,246.2978,0,U,51,999,94260,-0.00029073577,-1.16e-06,0.0
ECHO 1 DEB [METAL OBJ],1960-009E,2026-09-15T18:36:27.721440,12.17412865,0.00979559,47.277,62.8875,344.1412,15.6318,0,U,53,999,94646,0.00020765693,-6.4e-07,0.0
THOR ABLE DEB [YO],1960-002D,2026-09-19T07:52:31.198368,14.98599213,0.00261764,48.1652,357.5303,321.2922,38.6121,0,U,115,999,53225,0.00012841398,1.312e-05,0.0
THOR ABLESTAR DEB,1961-015D,2026-09-19T02:57:26.510400,14.27426253,0.01020137,66.7262,144.1225,195.288,164.513,0,U,119,999,37172,0.00010603948,1.9e-06,0.0
THOR ABLESTAR DEB,1961-015E,2026-09-19T04:26:40.811712,14.29681508,0.01168508,66.7052,185.843,295.035,63.8652,0,U,120,999,36176,0.00015273792,3.35e-06,0.0
THOR ABLESTAR DEB,1961-015F,2026-09-19T05:41:21.322176,14.00244328,0.0099032,66.7477,167.7147,297.4903,61.6139,0,U,121,999,33953,4.1101e-05,-1.6e-07,0.0
THOR ABLESTAR DEB,1961-015G,2026-09-19T18:01:22.054944,15.02560919,0.00302005,66.7385,266.2983,134.3198,226.0421,0,U,122,999,40847,0.00040147144,5.266e-05,0.0
THOR ABLESTAR DEB,1961-015H,2026-09-15T18:56:01.747968,14.41784136,0.01120132,66.6861,186.1881,205.9637,153.5823,0,U,123,999,39259,0.00010267075,2.66e-06,0.0
THOR ABLESTAR DEB,1961-015J,2026-09-19T15:24:30.088224,14.36135416,0.00618926,66.5466,352.4991,63.6667,297.0771,0,U,124,999,37249,0.00016561151,4.06e-06,0.0
THOR ABLESTAR DEB,1961-015K,2026-09-18T20:32:51.569088,14.07761416,0.0072948,66.8751,54.7265,350.5949,9.3768,0,U,125,999,33044,5.5051e-05,1.6e-07,0.0
THOR ABLESTAR DEB,1961-015L,2026-09-19T06:42:14.964768,14.4505313,0.0060714,66.7081,201.712,192.4413,167.5198,0,U,126,999,37819,0.00022672,7.19e-06,0.0
THOR ABLESTAR DEB,1961-015M,2026-09-19T21:36:52.043040,14.48791122,0.00685223,66.8278,51.3562,290.0423,69.3317,0,U,127,999,38057,0.00026582834,9.4e-06,0.0
THOR ABLESTAR DEB,1961-015N,2026-09-19T13:15:10.525824,14.02054415,0.0100699,66.675,303.9796,254.8757,104.117,0,U,128,999,32830,5.6834008e-05,1e-07,0.0
THOR ABLESTAR DEB,1961-015Q,2026-09-19T17:25:15.155904,13.99445068,0.00905492,66.7731,17.2685,226.4946,132.8587,0,U,130,999,32468,6.4689061e-05,1.9e-07,0.0
THOR ABLESTAR DEB,1961-015R,2026-09-19T15:19:02.345376,14.01813001,0.00797703,66.7337,228.0388,358.2198,1.8589,0,U,131,999,31670,0.00010280612,8.1e-07,0.0
THOR ABLESTAR DEB,1961-015S,2026-09-19T22:48:37.343808,13.94784615,0.00689802,66.6582,97.6314,129.5646,231.1555,0,U,132,999,31688,4.0006744e-05,-2.4e-07,0.0
